seq_orgao;cod_municipio;cod_orgao;seq_unidade;cod_unidade;cod_subunidade;num_anoexercicio;num_mesexercicio;dsc_funcao;dsc_subfuncao;dsc_programa;dsc_acao;dsc_subacao;dsc_naturezadespesa;dsc_fonterecurso;dsc_cod_orcamentario;vlr_previsto;vlr_acrescimo;vlr_deducao;vlr_empenhado;vlr_liquidado;vlr_pago;vlr_rspprocessado;vlr_rspnprocessado
2170;3171303;03;261130;3004;-9;2018;1;17 - SANEAMENTO;512 - SANEAMENTO BÁSICO URBANO;0448 - SERVICOS DE LIMPEZA E RESIDUOS SOLIDOS;8504 - MANUTENCAO SERVICOS LIMPEZA DO MUNICIPIO;;3.3.90.35.00 - SERVIÇOS DE CONSULTORIA;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;10000;0;0;0;0;0;0;0
2169;3171303;02;261118;2015;-9;2018;8;04 - ADMINISTRAÇÃO;122 - ADMINISTRAÇÃO GERAL;0001 - APOIO ADMINISTRATIVO;2180 - MANUTENCAO DOS BENSSERVICOS DA PROCURADORIA GERAL;;3.3.90.39.43 - SERVIÇOS DE TELECOMUNICAÇÕES;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;0;194.36;173.48;20.88;-194.36
2170;3171303;03;261132;3002;-9;2018;1;17 - SANEAMENTO;512 - SANEAMENTO BÁSICO URBANO;0447 - ABASTECIMENTO DE AGUA;8502 - OPERACAO MANUTENCAO DO SISTEMA AGUA;;3.3.90.39.11 - LOCAÇÃO DE SOFTWARES;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;15452.4;0;0;0;15452.4
2168;3171303;01;261137;1002;-9;2018;1;01 - LEGISLATIVA;031 - AÇÃO LEGISLATIVA;0101 - PROCESSO LEGISLATIVO;4015 - MANUTENÇÃO DA  ESTRUTURA DA SEDE DA CÂMARA;;4.4.90.51.00 - OBRAS E INSTALAÇÕES;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;25000;0;0;0;0;0;0;0
2169;3171303;02;261156;2007;2;2018;6;08 - ASSISTÊNCIA SOCIAL;244 - ASSISTÊNCIA COMUNITÁRIA;0025 - ASSISTIR AS FAMILIAS CARENTES DE VICOSA;2154 - MANUTENCAO DO BLOCO PISO SOCIAL BASICO;;3.3.90.36.14 - LOCAÇÃO DE IMÓVEIS;129 - TRANSFERÊNCIAS DE RECURSOS DO FUNDO NACIONAL DE ASSISTÊNCIA SOCIAL (FNAS);NÃO INFORMADO;0;0;0;0;1053.87;1053.87;0;-1053.87
2169;3171303;02;261159;2004;1;2018;3;12 - EDUCAÇÃO;306 - ALIMENTAÇÃO E NUTRIÇÃO;0014 - GARANTIR MERENDA PARA OS ALUNOS DA REDE PUBLICA;2083 - MANUT DA MERENDA ESCOLAR ENSINO INFANTIL  RP;;3.3.90.30.07 - GÊNEROS DE ALIMENTAÇÃO;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;0;7136;0;7136;-7136
2169;3171303;02;261147;2003;1;2018;4;10 - SAÚDE;301 - ATENÇÃO BÁSICA;0008 - PROMOVER O ACESSO DA POPULACAO NA SAUDE BASICA;0019 - MANUT CISMIVCONSORC INT SAUDE DA MICRORREGIAO;;3.1.71.70.00 - RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO;102 - RECEITAS DE IMPOSTOS E DE TRANSFERÊNCIAS DE IMPOSTOS VINCULADOS À SAÚDE;NÃO INFORMADO;0;0;0;0;50563.73;50563.73;0;-50563.73
2170;3171303;03;261133;3003;-9;2018;3;17 - SANEAMENTO;512 - SANEAMENTO BÁSICO URBANO;0449 - SISTEMA DE ESGOTO;9013 - AMPLIACAO REFORMA PADRONIZACAO RAMAIS SESGOTO;;4.4.90.51.03 - OBRAS E INSTALAÇÕES DE NATUREZA INDUSTRIAL;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;236.6;13350;45149;-31799;-13113.4
2171;3171303;04;261164;4002;1;2018;5;04 - ADMINISTRAÇÃO;122 - ADMINISTRAÇÃO GERAL;0003 - FORMACAO E DESENVOLVIMENTO DE RECURSOS HUMANOS;6007 - PAGAMENTO DE PESSOAL E ENCARGOS SOCIAIS;;3.1.90.04.99 - OUTROS;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;6894.48;6894.48;6380.49;513.99;0
2168;3171303;01;261137;1002;-9;2018;10;01 - LEGISLATIVA;031 - AÇÃO LEGISLATIVA;0101 - PROCESSO LEGISLATIVO;4006 - MANUTENCAO FOLHA DE PAGAMENTOS CARGOS EM COMISSAO;;3.1.90.11.05 - PESSOAL DE CARGO COMISSIONADO, EXCETO FUNDEB;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;0;46695.01;32652.75;14042.26;-46695.01
